param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 dist 	  wgt 
2.567940 	6.643567 	29117.144049 	0.003195 	0.007424 	0.000008 	1.719635 	0.000000 	
1.671173 	0.533209 	28212.686911 	0.003453 	0.001797 	0.000005 	1.610991 	0.078155 	
2.761625 	3.850076 	25798.650352 	0.005738 	0.003478 	0.000002 	1.266198 	0.000000 	
1.966163 	-4.599265 	28630.341875 	0.003913 	0.003578 	0.000009 	1.566098 	0.000000 	
0.523075 	7.287457 	25437.711435 	0.005651 	0.001871 	0.000008 	1.537362 	0.000000 	
1.151513 	7.802679 	26725.566813 	0.003418 	0.001251 	0.000005 	1.505590 	0.047690 	
1.805803 	1.678016 	28630.436053 	0.002734 	0.000709 	0.000010 	1.590549 	0.000000 	
1.931114 	9.325063 	22930.740563 	0.003881 	0.006006 	0.000012 	1.055877 	0.000000 	
1.405413 	-1.311589 	24397.553376 	0.002086 	0.005902 	0.000000 	1.205789 	0.000000 	
1.186237 	10.447184 	26415.765286 	0.004265 	0.003339 	0.000006 	1.529845 	0.000000 	
1.439372 	11.959220 	27627.876411 	0.003254 	0.004787 	0.000001 	1.430175 	0.000000 	
2.064597 	6.485695 	29214.088973 	0.002682 	0.000055 	0.000008 	1.639225 	0.000000 	
0.427345 	2.083361 	21778.163107 	0.004055 	0.000457 	0.000001 	1.150865 	0.010113 	
3.149627 	9.055097 	27012.520126 	0.000790 	0.005524 	0.000006 	1.370586 	0.000000 	
1.213741 	6.410057 	26387.158216 	0.002667 	0.001410 	0.000008 	1.524332 	0.039861 	
2.214924 	4.494388 	24544.188640 	0.002982 	0.007153 	0.000010 	1.174932 	0.000000 	
2.013097 	8.502651 	23766.372518 	0.001852 	0.006138 	0.000001 	1.089649 	0.000000 	
1.518481 	4.801398 	28703.676944 	0.002965 	0.001234 	0.000003 	1.690796 	0.056837 	
1.701894 	3.985339 	26077.518932 	0.005890 	0.001929 	0.000007 	1.450044 	0.000000 	
1.921257 	-1.373278 	27290.538441 	0.001253 	0.003409 	0.000006 	1.456913 	0.000000 	
2.257518 	3.165326 	28286.688433 	0.001098 	0.003065 	0.000003 	1.538860 	0.000000 	
1.773866 	2.334621 	26369.853799 	0.002928 	0.003364 	0.000005 	1.418534 	0.049636 	
1.419327 	6.590705 	26547.333256 	0.003554 	0.002318 	0.000012 	1.521650 	0.000000 	
