param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 dist 	  wgt 
0.117128 	0.972876 	2.117772 	1.780153 	0.035823 	0.024656 	0.007310 	0.008241 	0.447636 	0.772103 	0.000000 	
0.262056 	0.963599 	2.198873 	-0.046464 	0.026240 	0.016536 	-0.003684 	0.003353 	0.381001 	2.723554 	0.000000 	
0.207945 	0.966147 	2.227212 	1.212455 	0.040156 	0.021541 	0.009397 	-0.001170 	0.442000 	0.799927 	0.000000 	
0.190886 	0.800185 	2.067096 	1.532478 	0.014009 	0.015819 	-0.000359 	0.006118 	0.613375 	0.860620 	0.000000 	
0.123795 	1.044838 	1.539438 	1.879818 	0.056152 	0.016310 	0.001686 	0.001099 	0.621875 	0.877813 	0.000000 	
0.304025 	0.975597 	1.282256 	0.716755 	0.077287 	0.024786 	0.005032 	0.008514 	0.307739 	0.837955 	0.000000 	
0.138165 	0.986131 	2.479609 	1.185137 	0.064795 	0.019842 	0.005369 	0.006403 	0.480587 	0.723246 	0.000000 	
0.239424 	1.126962 	1.062351 	1.197305 	-0.008596 	0.020681 	-0.000887 	0.001557 	0.451855 	1.377471 	0.000000 	
0.189050 	0.961428 	1.723541 	0.915286 	0.106395 	0.018556 	0.005336 	0.002681 	0.316868 	0.661535 	0.000000 	
0.259625 	0.977201 	1.339468 	0.777268 	0.082587 	0.011093 	0.003631 	0.004867 	0.430906 	0.827028 	0.000000 	
0.208510 	0.936830 	1.635208 	1.549357 	0.107640 	0.034435 	0.001319 	0.010370 	0.515946 	0.872904 	0.000000 	
0.251479 	0.945179 	1.279297 	1.301633 	0.034777 	0.014205 	0.002896 	0.011614 	0.487341 	1.028786 	0.000000 	
0.165464 	1.190016 	1.795373 	1.336667 	0.081874 	0.013483 	0.000106 	0.011137 	0.300221 	0.950849 	0.000000 	
0.219815 	1.045079 	1.299217 	1.155415 	0.007905 	0.007279 	-0.002638 	0.002247 	0.421863 	1.015097 	0.000000 	
0.206169 	1.182269 	1.517704 	1.200374 	0.083964 	0.026512 	0.005207 	0.005460 	0.333407 	1.080926 	0.000000 	
0.283992 	0.826241 	1.827160 	0.708032 	-0.003992 	0.014142 	0.005935 	-0.001919 	0.376523 	0.748747 	0.000000 	
0.164414 	1.050398 	1.939194 	1.837277 	0.074481 	0.014376 	0.013708 	-0.002301 	0.271244 	0.849078 	0.000000 	
0.277733 	0.980039 	1.766145 	0.950459 	0.056190 	0.013134 	0.008381 	-0.003802 	0.334556 	0.804190 	0.000000 	
0.263752 	1.026567 	0.447393 	0.823964 	0.071890 	0.022237 	0.021476 	0.001204 	0.516509 	1.495409 	0.000000 	
0.262456 	0.933158 	0.729885 	0.710025 	0.076781 	0.013182 	0.011293 	0.002030 	0.374915 	0.878821 	0.000000 	
0.202760 	0.835022 	1.080265 	1.099364 	0.034746 	0.018084 	0.010373 	0.004061 	0.436753 	0.787605 	0.000000 	
0.193820 	1.072711 	1.893460 	0.713192 	-0.010315 	0.019935 	0.013089 	0.008018 	0.321965 	0.736840 	0.000000 	
0.193656 	1.115085 	0.908907 	1.373113 	0.018688 	0.012970 	0.008348 	0.002249 	0.366602 	1.353423 	0.000000 	
0.232071 	0.972699 	0.751714 	0.427965 	0.094194 	0.021165 	0.000613 	-0.000610 	0.536188 	0.830814 	0.000000 	
0.127073 	0.924898 	1.267620 	0.543853 	0.015510 	0.026817 	-0.000933 	0.003587 	0.356852 	0.664105 	0.000000 	
0.217545 	0.970445 	1.656900 	0.699999 	0.009105 	0.021854 	0.010661 	-0.003879 	0.470972 	0.732832 	0.000000 	
0.153251 	1.152319 	1.501089 	1.701372 	-0.017175 	0.027424 	0.004608 	0.002667 	0.501355 	1.109234 	0.000000 	
0.137311 	0.906399 	1.498910 	-0.035153 	0.039703 	0.021664 	0.007410 	0.008475 	0.251509 	4.873044 	0.000000 	
0.171006 	0.946273 	1.947712 	1.286316 	0.050865 	0.018606 	0.005565 	0.003198 	0.483307 	0.724659 	0.348470 	
0.151427 	0.784853 	1.183793 	0.975207 	0.075927 	0.024587 	0.008113 	0.000964 	0.319696 	0.607121 	0.000000 	
